,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
30,76m,32k,800,600ms,4.0,0.75,68m,106k,24m,98k,6g,9g,460s,5s,2,false,0.8999999999999999,true,false,0.7
31,84m,114k,200,400ms,1.5,0.5,58m,18k,120m,32k,2g,10g,60s,5s,1,false,0.8999999999999999,false,false,0.7999999999999999
32,38m,26k,800,200ms,4.5,0.25,46m,70k,16m,86k,3g,7g,180s,9s,4,false,0.6,false,false,0.7
33,112m,106k,500,100ms,4.0,0.5,30m,88k,104m,48k,9g,1g,460s,2s,5,false,0.6,true,false,0.7
34,32m,60k,900,800ms,2.5,0.75,106m,120k,16m,64k,11g,7g,60s,2s,3,true,0.7999999999999999,false,false,0.5
35,38m,76k,800,300ms,4.0,0.25,102m,92k,16m,72k,6g,3g,120s,5s,6,false,0.7,true,false,0.6
36,74m,2k,500,300ms,3.5,0.25,6m,96k,56m,8k,6g,4g,280s,5s,5,false,0.8999999999999999,false,true,0.5
37,82m,42k,800,500ms,2.5,0.25,98m,42k,56m,120k,10g,7g,40s,7s,7,true,0.7,true,false,0.6
38,4m,68k,700,600ms,2.5,0.5,6m,44k,72m,62k,10g,8g,480s,4s,3,false,0.5,false,true,0.5
39,28m,12k,600,400ms,2.5,0.25,104m,40k,48m,48k,5g,4g,260s,1s,3,true,0.7,true,false,0.5
40,108m,8k,500,200ms,2.5,0.25,10m,18k,48m,92k,6g,8g,340s,5s,6,false,0.5,false,true,0.7
41,62m,16k,100,900ms,4.5,0.25,80m,106k,64m,28k,5g,4g,380s,6s,5,false,0.8999999999999999,false,true,0.6
42,80m,112k,300,600ms,2.0,0.25,108m,70k,72m,10k,11g,1g,460s,8s,1,true,0.7,false,true,0.7
43,90m,32k,700,300ms,1.0,0.25,12m,12k,72m,40k,9g,5g,360s,1s,1,false,0.7999999999999999,true,true,0.5
44,114m,108k,700,600ms,3.0,0.75,36m,52k,32m,42k,4g,3g,360s,2s,5,true,0.7999999999999999,false,true,0.5
45,102m,24k,800,300ms,3.0,0.25,116m,58k,56m,34k,9g,7g,100s,1s,4,true,0.5,true,true,0.7999999999999999
46,84m,36k,900,800ms,4.0,0.75,68m,44k,120m,120k,8g,9g,160s,9s,2,false,0.7,false,false,0.8999999999999999
47,24m,60k,200,800ms,4.5,0.25,76m,6k,120m,68k,7g,3g,460s,9s,2,false,0.6,true,false,0.7
48,84m,62k,100,800ms,2.0,0.75,48m,124k,88m,12k,2g,9g,220s,4s,6,false,0.8999999999999999,false,false,0.7999999999999999
49,16m,44k,900,800ms,1.5,0.25,56m,38k,56m,60k,10g,2g,480s,9s,5,false,0.5,true,false,0.7
50,120m,96k,700,600ms,3.0,0.25,108m,80k,120m,126k,8g,1g,300s,9s,5,false,0.6,false,false,0.6
51,126m,28k,800,600ms,1.5,0.75,6m,74k,32m,40k,6g,3g,380s,6s,2,false,0.7,true,false,0.8999999999999999
52,112m,98k,200,200ms,4.0,0.75,32m,108k,48m,4k,11g,6g,40s,6s,5,true,0.7,true,true,0.6
53,86m,110k,600,300ms,2.5,0.5,104m,84k,72m,12k,3g,3g,80s,6s,2,true,0.6,true,false,0.6
54,26m,100k,700,900ms,3.5,0.25,100m,60k,56m,38k,9g,7g,480s,8s,4,true,0.7999999999999999,true,true,0.7
55,118m,126k,900,600ms,3.5,0.5,28m,88k,16m,72k,6g,11g,140s,7s,3,false,0.7,true,false,0.5
56,38m,66k,600,300ms,2.0,0.25,100m,96k,16m,76k,3g,5g,480s,1s,2,true,0.6,false,true,0.8999999999999999
57,22m,24k,900,900ms,4.0,0.5,64m,100k,16m,112k,2g,3g,380s,7s,5,true,0.8999999999999999,false,false,0.6
58,96m,38k,100,600ms,1.5,0.75,54m,40k,32m,10k,3g,11g,260s,3s,3,false,0.7,true,true,0.6
59,8m,44k,700,800ms,2.5,0.5,86m,78k,48m,18k,3g,9g,300s,6s,3,true,0.7999999999999999,true,true,0.7999999999999999
60,104m,36k,800,900ms,1.0,0.75,10m,96k,112m,4k,9g,11g,80s,9s,1,true,0.5,true,false,0.8999999999999999
61,58m,122k,500,700ms,4.0,0.5,98m,20k,120m,122k,2g,11g,400s,4s,7,false,0.8999999999999999,false,false,0.5
62,64m,96k,900,800ms,2.0,0.5,60m,10k,104m,50k,11g,7g,20s,3s,4,true,0.8999999999999999,true,true,0.8999999999999999
63,76m,44k,100,500ms,2.0,0.5,12m,74k,40m,68k,4g,8g,420s,8s,6,false,0.7999999999999999,true,false,0.8999999999999999
64,64m,76k,200,100ms,1.0,0.75,126m,48k,88m,122k,7g,9g,480s,6s,4,true,0.6,true,false,0.6
65,34m,66k,100,700ms,2.5,0.5,110m,18k,40m,62k,3g,5g,180s,4s,6,false,0.6,false,false,0.5
66,110m,44k,300,400ms,2.5,0.75,26m,96k,64m,68k,1g,2g,360s,8s,4,false,0.6,false,false,0.5
67,116m,80k,500,600ms,2.5,0.75,2m,100k,56m,8k,11g,3g,240s,7s,2,false,0.7999999999999999,true,true,0.7
68,64m,68k,800,900ms,4.0,0.5,52m,66k,40m,44k,6g,9g,460s,6s,4,false,0.5,false,false,0.5
69,110m,42k,800,400ms,2.0,0.5,90m,114k,104m,98k,10g,9g,160s,4s,3,false,0.8999999999999999,true,true,0.8999999999999999
70,72m,98k,700,900ms,3.5,0.25,26m,124k,96m,46k,3g,10g,400s,3s,5,true,0.7999999999999999,true,true,0.7
71,76m,94k,500,800ms,4.5,0.25,62m,118k,88m,64k,3g,1g,100s,6s,4,false,0.8999999999999999,true,false,0.5
72,76m,88k,500,200ms,3.0,0.5,112m,118k,120m,126k,3g,2g,380s,6s,6,true,0.7,false,true,0.6
73,124m,70k,900,100ms,2.0,0.5,38m,118k,104m,50k,1g,6g,460s,6s,6,false,0.6,true,true,0.7999999999999999
74,6m,40k,300,400ms,3.0,0.5,102m,14k,80m,90k,11g,11g,160s,8s,2,true,0.5,true,false,0.7
75,24m,82k,800,800ms,3.0,0.5,22m,26k,72m,70k,1g,4g,180s,4s,2,false,0.8999999999999999,false,true,0.8999999999999999
76,16m,6k,400,100ms,2.5,0.5,26m,24k,8m,76k,6g,6g,360s,5s,1,false,0.6,true,false,0.5
77,116m,2k,500,300ms,4.0,0.5,22m,84k,16m,86k,6g,2g,340s,7s,5,false,0.6,false,false,0.7999999999999999
78,32m,110k,900,600ms,3.5,0.25,36m,38k,104m,76k,3g,5g,100s,1s,2,true,0.7,false,false,0.7999999999999999
79,100m,4k,800,900ms,1.5,0.75,84m,62k,64m,10k,5g,3g,200s,5s,1,false,0.7,true,true,0.7
80,86m,56k,400,900ms,4.0,0.75,116m,106k,48m,40k,9g,3g,240s,1s,4,true,0.5,true,true,0.6
81,100m,2k,500,100ms,3.5,0.5,104m,50k,48m,22k,2g,8g,220s,1s,1,true,0.6,true,false,0.6
82,60m,4k,400,200ms,2.5,0.5,26m,28k,64m,32k,10g,8g,360s,8s,6,true,0.6,true,true,0.8999999999999999
83,98m,62k,200,900ms,2.5,0.25,114m,2k,56m,100k,4g,2g,480s,6s,5,true,0.5,false,true,0.8999999999999999
84,50m,8k,900,800ms,1.0,0.25,68m,120k,72m,90k,11g,7g,280s,4s,2,false,0.8999999999999999,true,true,0.5
85,40m,24k,300,900ms,3.5,0.75,58m,18k,64m,68k,1g,2g,20s,1s,3,true,0.6,true,true,0.5
86,86m,20k,100,600ms,3.0,0.5,22m,108k,112m,34k,4g,4g,200s,7s,2,false,0.5,true,true,0.7
87,104m,102k,300,400ms,4.0,0.25,4m,52k,56m,108k,9g,11g,80s,1s,2,false,0.8999999999999999,false,true,0.7
88,38m,90k,800,700ms,3.5,0.75,14m,54k,112m,78k,11g,4g,120s,6s,3,false,0.8999999999999999,true,true,0.7999999999999999
89,66m,20k,900,200ms,3.0,0.25,20m,14k,88m,76k,7g,5g,240s,1s,1,true,0.7,true,false,0.8999999999999999
90,22m,14k,200,600ms,1.0,0.25,26m,86k,96m,126k,2g,6g,420s,1s,5,true,0.5,false,false,0.6
91,30m,66k,600,100ms,4.5,0.5,22m,24k,40m,104k,3g,2g,260s,5s,4,false,0.8999999999999999,true,false,0.6
92,56m,14k,400,200ms,3.5,0.25,22m,66k,112m,6k,1g,2g,180s,2s,2,false,0.7999999999999999,false,true,0.8999999999999999
93,88m,60k,300,400ms,4.5,0.25,86m,14k,80m,14k,6g,7g,420s,3s,2,false,0.7,false,false,0.6
94,30m,16k,900,400ms,3.5,0.25,10m,44k,80m,122k,8g,5g,140s,9s,6,false,0.7999999999999999,true,true,0.6
95,122m,106k,400,600ms,4.5,0.75,46m,78k,8m,112k,7g,11g,300s,9s,2,false,0.5,true,true,0.5
96,108m,38k,700,800ms,2.0,0.5,16m,38k,48m,96k,4g,7g,20s,4s,5,false,0.7999999999999999,false,true,0.7999999999999999
97,22m,26k,600,700ms,4.0,0.5,58m,98k,80m,122k,7g,1g,280s,8s,3,true,0.8999999999999999,false,true,0.8999999999999999
98,88m,4k,800,500ms,4.0,0.5,124m,68k,64m,94k,7g,3g,300s,3s,7,false,0.5,true,false,0.6
99,66m,78k,900,700ms,2.0,0.75,96m,56k,8m,50k,10g,4g,220s,6s,5,false,0.5,true,false,0.7
100,86m,70k,300,300ms,4.5,0.5,42m,104k,72m,74k,9g,3g,60s,4s,1,true,0.7999999999999999,true,true,0.5
101,80m,48k,300,900ms,3.0,0.75,108m,110k,48m,88k,7g,3g,440s,9s,4,true,0.6,false,false,0.6
102,6m,106k,700,700ms,1.5,0.75,80m,2k,56m,104k,3g,5g,320s,9s,3,false,0.5,true,false,0.6
103,4m,4k,700,600ms,2.0,0.25,48m,4k,96m,68k,2g,7g,300s,1s,7,true,0.5,true,true,0.5
104,10m,16k,300,100ms,4.0,0.5,68m,94k,8m,100k,5g,2g,400s,8s,4,false,0.6,false,true,0.8999999999999999
105,14m,42k,700,500ms,3.5,0.75,54m,88k,32m,120k,4g,4g,380s,4s,4,true,0.5,true,false,0.7
106,32m,16k,700,700ms,2.0,0.75,122m,98k,8m,30k,10g,1g,480s,2s,3,true,0.5,true,true,0.7
107,58m,70k,400,100ms,1.0,0.5,8m,58k,72m,2k,1g,6g,360s,3s,1,true,0.5,true,false,0.5
108,66m,24k,800,900ms,2.0,0.75,64m,76k,112m,94k,8g,6g,200s,3s,2,false,0.7999999999999999,true,false,0.7999999999999999
109,116m,4k,600,800ms,1.0,0.5,38m,40k,88m,100k,4g,4g,280s,7s,1,false,0.7999999999999999,false,true,0.7
110,8m,106k,300,900ms,1.5,0.75,90m,56k,96m,60k,11g,8g,300s,2s,4,true,0.7999999999999999,false,true,0.5
111,24m,102k,400,400ms,2.0,0.25,48m,10k,80m,94k,5g,2g,60s,4s,7,false,0.8999999999999999,true,true,0.7
112,118m,76k,100,200ms,2.0,0.25,78m,90k,48m,14k,6g,5g,80s,9s,7,true,0.7999999999999999,true,false,0.7999999999999999
113,110m,34k,800,900ms,2.0,0.25,118m,84k,32m,64k,3g,11g,400s,4s,4,true,0.7,true,true,0.5
114,34m,26k,400,900ms,1.5,0.75,30m,72k,88m,2k,8g,1g,120s,9s,6,true,0.7,true,false,0.8999999999999999
115,102m,40k,100,600ms,2.0,0.5,54m,122k,24m,6k,4g,7g,480s,5s,1,true,0.7999999999999999,true,false,0.7999999999999999
116,68m,90k,800,900ms,3.0,0.75,126m,86k,48m,98k,5g,9g,200s,1s,5,true,0.6,true,true,0.7
117,26m,80k,400,400ms,3.0,0.75,34m,40k,88m,74k,1g,1g,420s,1s,6,false,0.7999999999999999,false,true,0.6
118,68m,2k,200,200ms,4.5,0.5,112m,112k,8m,44k,3g,7g,300s,8s,6,true,0.7,false,false,0.5
119,122m,30k,100,600ms,1.0,0.25,14m,62k,32m,112k,9g,1g,280s,3s,7,true,0.8999999999999999,true,true,0.7999999999999999
120,120m,54k,900,800ms,1.5,0.5,46m,102k,120m,108k,11g,7g,200s,6s,7,true,0.8999999999999999,false,false,0.7
121,52m,48k,500,300ms,2.0,0.25,80m,46k,112m,110k,8g,2g,340s,9s,3,true,0.6,false,false,0.5
122,4m,4k,800,600ms,4.0,0.75,6m,118k,56m,68k,3g,1g,40s,8s,1,false,0.6,false,false,0.5
123,52m,14k,700,500ms,2.0,0.75,14m,122k,48m,84k,3g,11g,400s,8s,5,true,0.7999999999999999,true,true,0.6
124,96m,6k,300,100ms,3.0,0.5,64m,8k,8m,34k,6g,3g,80s,9s,6,false,0.7999999999999999,false,false,0.7
125,72m,102k,200,600ms,1.5,0.75,50m,68k,48m,52k,7g,11g,460s,3s,5,false,0.8999999999999999,false,true,0.6
126,112m,72k,500,800ms,2.0,0.75,66m,118k,56m,100k,3g,9g,360s,7s,4,false,0.7999999999999999,true,false,0.8999999999999999
127,72m,126k,300,800ms,3.5,0.25,116m,6k,64m,126k,5g,10g,320s,4s,7,false,0.6,false,false,0.7
128,26m,8k,500,900ms,2.5,0.5,50m,112k,16m,110k,11g,10g,200s,2s,5,true,0.8999999999999999,true,true,0.7999999999999999
129,92m,80k,900,700ms,1.5,0.75,78m,70k,56m,56k,1g,3g,320s,8s,7,true,0.7999999999999999,false,true,0.8999999999999999
130,2m,54k,500,400ms,1.5,0.5,36m,114k,64m,94k,5g,4g,420s,1s,7,true,0.7,false,false,0.6
131,118m,22k,500,200ms,1.5,0.25,56m,88k,120m,120k,4g,4g,200s,3s,2,false,0.5,false,false,0.6
132,68m,54k,200,400ms,4.0,0.25,98m,56k,88m,102k,11g,7g,100s,6s,7,false,0.6,true,false,0.7
133,66m,70k,300,300ms,2.0,0.25,94m,118k,80m,58k,7g,7g,360s,3s,3,false,0.7999999999999999,true,false,0.7
134,66m,94k,600,200ms,3.0,0.5,64m,62k,32m,54k,3g,10g,140s,7s,3,false,0.7,false,false,0.7
135,64m,32k,700,400ms,2.5,0.5,66m,24k,24m,2k,8g,1g,240s,3s,2,true,0.5,false,true,0.7999999999999999
136,58m,118k,100,100ms,2.5,0.25,18m,80k,64m,64k,10g,6g,60s,5s,1,false,0.7,true,true,0.5
137,114m,34k,400,700ms,3.0,0.5,114m,36k,96m,72k,11g,1g,460s,3s,2,false,0.5,false,false,0.7
138,52m,74k,200,900ms,3.0,0.5,16m,58k,104m,34k,9g,1g,300s,7s,7,false,0.8999999999999999,true,false,0.5
139,34m,54k,600,400ms,3.5,0.5,88m,4k,8m,106k,1g,5g,260s,5s,7,false,0.7999999999999999,false,true,0.8999999999999999
140,70m,26k,100,400ms,1.5,0.5,16m,110k,72m,16k,10g,4g,260s,7s,7,true,0.5,false,false,0.6
141,40m,78k,300,200ms,4.5,0.5,120m,62k,40m,102k,6g,5g,40s,6s,6,true,0.7999999999999999,true,false,0.7
142,20m,40k,700,600ms,2.0,0.25,112m,104k,56m,30k,4g,1g,380s,2s,7,false,0.7999999999999999,false,true,0.7
143,104m,4k,500,500ms,1.0,0.25,86m,92k,8m,46k,8g,2g,120s,8s,2,true,0.8999999999999999,false,false,0.6
144,118m,4k,700,900ms,4.0,0.5,120m,40k,24m,94k,5g,1g,200s,6s,4,true,0.7999999999999999,false,false,0.5
145,108m,28k,700,200ms,4.0,0.75,64m,10k,88m,56k,5g,2g,360s,8s,1,false,0.7999999999999999,false,false,0.5
146,96m,108k,500,200ms,1.0,0.5,106m,112k,40m,6k,6g,6g,240s,2s,1,false,0.7,false,true,0.6
147,54m,62k,600,400ms,1.5,0.75,122m,12k,40m,68k,7g,8g,160s,2s,3,false,0.8999999999999999,false,true,0.7
148,84m,98k,800,800ms,1.5,0.75,68m,40k,56m,36k,3g,7g,100s,8s,7,true,0.6,false,false,0.6
149,60m,108k,900,200ms,4.5,0.75,68m,90k,96m,60k,3g,3g,100s,6s,5,true,0.7,false,false,0.5
150,114m,52k,200,300ms,3.0,0.75,88m,60k,88m,34k,2g,11g,240s,1s,6,true,0.8999999999999999,true,false,0.7999999999999999
151,112m,32k,600,900ms,2.0,0.5,62m,112k,64m,52k,7g,4g,60s,3s,4,true,0.5,false,true,0.6
152,68m,54k,100,600ms,2.0,0.5,44m,108k,48m,24k,11g,6g,40s,8s,3,false,0.8999999999999999,true,true,0.7999999999999999
153,44m,32k,700,600ms,3.5,0.5,68m,108k,64m,4k,3g,10g,80s,4s,2,true,0.6,true,true,0.5
154,76m,38k,500,900ms,3.0,0.5,88m,16k,120m,108k,4g,6g,300s,6s,2,false,0.5,false,false,0.7
155,52m,70k,600,600ms,1.0,0.25,34m,116k,8m,98k,6g,5g,360s,8s,5,true,0.6,true,false,0.7999999999999999
156,68m,76k,100,800ms,3.5,0.25,96m,58k,32m,62k,7g,7g,200s,1s,6,false,0.7,true,true,0.8999999999999999
157,46m,42k,400,400ms,4.0,0.5,116m,120k,72m,126k,6g,9g,280s,4s,3,false,0.7,true,true,0.7
158,114m,58k,800,700ms,3.5,0.75,88m,90k,104m,86k,11g,10g,440s,3s,6,true,0.7999999999999999,true,true,0.7999999999999999
159,96m,88k,500,800ms,4.5,0.25,126m,64k,88m,110k,11g,3g,220s,8s,1,true,0.6,false,true,0.7999999999999999
160,122m,114k,600,300ms,3.5,0.25,56m,114k,24m,24k,5g,11g,60s,4s,2,false,0.8999999999999999,false,true,0.5
161,32m,26k,400,900ms,1.0,0.25,52m,84k,56m,4k,7g,10g,280s,8s,6,true,0.8999999999999999,true,true,0.5
162,52m,30k,300,500ms,1.5,0.75,32m,100k,8m,96k,2g,6g,140s,9s,1,true,0.6,true,true,0.7999999999999999
163,34m,6k,300,800ms,2.5,0.75,88m,56k,88m,76k,3g,5g,340s,2s,5,true,0.6,false,false,0.8999999999999999
164,98m,42k,100,800ms,4.5,0.25,58m,122k,96m,96k,2g,3g,420s,8s,3,true,0.5,false,true,0.8999999999999999
165,16m,82k,800,600ms,3.0,0.25,2m,56k,80m,108k,5g,8g,380s,9s,3,true,0.5,true,true,0.6
166,108m,70k,900,400ms,3.5,0.5,92m,90k,32m,94k,1g,5g,280s,9s,6,true,0.5,true,false,0.5
167,68m,24k,200,500ms,3.0,0.25,34m,10k,56m,110k,1g,8g,380s,4s,7,true,0.6,false,false,0.7
168,110m,26k,500,700ms,1.0,0.25,94m,30k,40m,24k,5g,8g,60s,1s,4,false,0.8999999999999999,false,false,0.7
169,56m,120k,500,900ms,4.5,0.75,122m,60k,104m,84k,6g,7g,20s,8s,6,false,0.5,true,true,0.6
170,84m,70k,100,500ms,4.0,0.75,16m,102k,112m,106k,11g,3g,300s,8s,3,true,0.7,false,false,0.7
171,116m,78k,200,600ms,4.0,0.75,90m,86k,16m,82k,1g,1g,40s,5s,7,true,0.6,false,true,0.5
172,50m,110k,900,100ms,1.5,0.25,76m,120k,32m,116k,11g,11g,160s,7s,3,true,0.5,true,false,0.7999999999999999
173,48m,32k,200,600ms,2.5,0.5,36m,122k,56m,96k,6g,3g,280s,3s,7,false,0.8999999999999999,false,false,0.5
174,36m,114k,600,400ms,3.0,0.75,124m,52k,64m,30k,3g,4g,60s,8s,4,true,0.7,false,true,0.7999999999999999
175,58m,32k,100,700ms,2.0,0.5,118m,36k,112m,22k,2g,10g,120s,4s,4,false,0.7,false,true,0.7
176,6m,80k,300,100ms,3.5,0.5,88m,44k,80m,64k,6g,2g,400s,6s,1,true,0.8999999999999999,true,false,0.8999999999999999
177,64m,68k,600,200ms,3.0,0.5,12m,70k,80m,48k,10g,11g,300s,4s,2,true,0.7999999999999999,false,false,0.8999999999999999
178,6m,56k,500,700ms,1.5,0.5,114m,18k,32m,52k,4g,2g,440s,6s,5,false,0.8999999999999999,true,true,0.8999999999999999
179,42m,68k,500,200ms,4.0,0.75,114m,92k,88m,76k,7g,11g,240s,6s,3,false,0.6,true,true,0.7
180,76m,4k,600,100ms,4.0,0.75,118m,98k,32m,2k,4g,10g,340s,3s,1,true,0.5,true,false,0.5
181,76m,8k,900,800ms,3.5,0.75,18m,112k,72m,118k,3g,8g,140s,4s,5,true,0.7,false,false,0.5
182,48m,24k,300,600ms,3.0,0.25,122m,118k,120m,122k,1g,5g,160s,3s,5,false,0.8999999999999999,false,true,0.8999999999999999
183,16m,98k,500,600ms,4.5,0.25,48m,28k,72m,48k,3g,6g,120s,7s,2,true,0.6,true,false,0.6
184,44m,36k,200,400ms,4.0,0.25,110m,110k,112m,120k,5g,4g,420s,2s,5,false,0.6,false,false,0.7999999999999999
185,4m,46k,400,100ms,1.5,0.75,12m,64k,24m,8k,5g,4g,240s,1s,2,false,0.8999999999999999,false,true,0.5
186,44m,104k,300,800ms,4.5,0.5,18m,120k,112m,2k,6g,4g,420s,9s,7,true,0.5,false,true,0.7
187,20m,28k,400,400ms,4.0,0.5,40m,62k,112m,20k,7g,5g,280s,4s,7,true,0.6,true,true,0.5
188,126m,88k,800,200ms,2.5,0.75,100m,120k,80m,22k,1g,10g,480s,8s,2,true,0.7999999999999999,true,true,0.6
189,76m,38k,500,300ms,4.5,0.75,56m,116k,104m,96k,8g,11g,340s,1s,1,false,0.6,false,false,0.8999999999999999
190,104m,114k,200,800ms,1.5,0.25,14m,72k,24m,70k,6g,8g,340s,8s,4,false,0.5,true,true,0.7999999999999999
191,76m,38k,700,900ms,4.5,0.25,70m,110k,48m,98k,8g,10g,420s,9s,2,true,0.7,false,false,0.5
192,28m,100k,100,200ms,1.0,0.75,52m,42k,96m,36k,10g,4g,320s,2s,7,true,0.7999999999999999,true,false,0.7999999999999999
193,50m,48k,500,400ms,2.0,0.25,86m,86k,96m,64k,2g,4g,20s,9s,7,false,0.8999999999999999,true,false,0.7
194,30m,98k,800,200ms,2.5,0.75,70m,40k,96m,84k,5g,10g,280s,8s,3,true,0.5,false,false,0.6
195,46m,14k,200,700ms,4.0,0.25,96m,94k,8m,78k,9g,6g,460s,8s,1,true,0.7,false,false,0.8999999999999999
196,6m,126k,900,400ms,3.0,0.25,88m,62k,72m,48k,8g,2g,280s,5s,6,true,0.7,false,false,0.7999999999999999
197,30m,98k,100,100ms,4.5,0.75,86m,122k,8m,108k,6g,11g,480s,8s,3,false,0.8999999999999999,false,false,0.7
198,34m,56k,300,700ms,2.5,0.25,118m,36k,40m,52k,1g,1g,320s,4s,5,false,0.7999999999999999,false,false,0.7
199,26m,72k,800,800ms,4.5,0.5,94m,110k,32m,58k,8g,7g,440s,4s,6,true,0.7,true,false,0.7999999999999999
200,26m,16k,100,700ms,1.0,0.25,122m,112k,120m,36k,1g,4g,380s,5s,5,false,0.7,false,true,0.6
201,42m,74k,500,500ms,3.0,0.5,18m,34k,88m,90k,4g,7g,380s,4s,7,true,0.5,true,false,0.8999999999999999
202,16m,20k,100,700ms,2.5,0.25,4m,102k,120m,16k,5g,7g,80s,9s,7,false,0.8999999999999999,true,false,0.7
203,30m,88k,700,400ms,4.0,0.75,108m,100k,40m,110k,1g,6g,460s,5s,5,true,0.8999999999999999,false,true,0.5
204,102m,108k,700,100ms,3.0,0.5,4m,8k,96m,8k,4g,8g,140s,3s,6,false,0.7,true,true,0.7999999999999999
