,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.shuffle.sort.bypassMergeThreshold,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.broadcast.blockSize,spark.io.compression.snappy.blockSize,spark.kryoserializer.buffer.max,spark.kryoserializer.buffer,spark.driver.memory,spark.executor.memory,spark.network.timeout,spark.locality.wait,spark.task.maxFailures,spark.shuffle.compress,spark.memory.fraction,spark.shuffle.spill.compress,spark.broadcast.compress,spark.memory.storageFraction
26,50m,102k,500,400ms,3.0,0.5,84m,86k,8m,92k,1g,2g,440s,7s,2,false,0.7,true,true,0.8999999999999999
27,78m,96k,400,600ms,4.5,0.75,124m,98k,16m,64k,8g,2g,320s,1s,2,false,0.6,true,false,0.5
28,78m,14k,600,700ms,3.5,0.5,70m,60k,80m,92k,9g,11g,360s,5s,5,true,0.7999999999999999,false,false,0.7
29,36m,86k,300,200ms,2.5,0.75,8m,76k,96m,40k,5g,4g,240s,6s,4,true,0.7,false,false,0.5
30,62m,12k,200,200ms,2.5,0.25,4m,8k,48m,94k,11g,7g,60s,4s,1,false,0.7,false,true,0.7999999999999999
31,42m,2k,800,500ms,3.5,0.75,88m,26k,40m,96k,11g,5g,20s,2s,7,false,0.8999999999999999,false,false,0.7
32,102m,46k,200,200ms,2.5,0.25,2m,56k,16m,108k,9g,1g,80s,7s,3,false,0.8999999999999999,true,true,0.7999999999999999
33,4m,124k,400,900ms,4.5,0.25,94m,62k,72m,60k,5g,6g,140s,5s,6,false,0.8999999999999999,true,true,0.7999999999999999
34,104m,14k,500,200ms,4.5,0.25,100m,6k,8m,108k,8g,11g,200s,4s,5,false,0.8999999999999999,true,true,0.5
35,86m,8k,400,100ms,2.5,0.25,24m,96k,104m,102k,2g,1g,480s,8s,5,false,0.7999999999999999,false,true,0.7999999999999999
36,66m,32k,100,400ms,3.0,0.5,98m,64k,80m,4k,7g,6g,300s,3s,5,false,0.6,true,false,0.8999999999999999
37,46m,24k,500,300ms,1.0,0.75,72m,114k,120m,100k,7g,9g,200s,3s,7,true,0.7,false,false,0.7
38,34m,62k,500,500ms,3.0,0.75,106m,86k,112m,40k,1g,3g,420s,6s,3,false,0.8999999999999999,true,false,0.7
39,34m,100k,100,300ms,4.0,0.25,116m,56k,64m,26k,5g,4g,120s,8s,7,true,0.6,false,true,0.7999999999999999
40,56m,22k,900,400ms,4.5,0.25,114m,102k,48m,66k,4g,8g,140s,1s,1,false,0.6,false,true,0.7999999999999999
41,110m,24k,900,900ms,1.0,0.75,124m,30k,80m,18k,8g,9g,220s,6s,2,false,0.7,false,false,0.7
42,124m,126k,600,200ms,3.0,0.5,90m,2k,8m,64k,9g,6g,60s,8s,2,true,0.6,true,false,0.5
43,44m,108k,300,700ms,3.5,0.75,42m,116k,96m,32k,3g,6g,100s,7s,5,true,0.6,false,true,0.7
44,10m,86k,900,300ms,4.0,0.25,68m,108k,40m,48k,4g,6g,200s,9s,6,true,0.5,true,false,0.7999999999999999
45,40m,24k,600,700ms,4.0,0.75,2m,40k,112m,10k,6g,9g,180s,7s,2,true,0.8999999999999999,true,false,0.6
46,82m,96k,900,700ms,2.0,0.75,62m,58k,24m,120k,4g,9g,160s,3s,6,false,0.8999999999999999,false,false,0.5
47,22m,32k,100,100ms,3.5,0.25,48m,4k,48m,70k,2g,11g,280s,4s,3,false,0.7999999999999999,false,false,0.6
48,34m,92k,600,400ms,1.0,0.5,42m,62k,96m,24k,5g,10g,300s,9s,1,false,0.7999999999999999,false,false,0.7
49,10m,16k,800,300ms,2.5,0.75,10m,54k,8m,90k,7g,11g,240s,2s,2,true,0.8999999999999999,false,false,0.7
50,48m,54k,400,700ms,1.5,0.75,48m,28k,80m,34k,4g,8g,260s,1s,1,true,0.5,false,true,0.5
51,18m,114k,200,200ms,1.0,0.25,92m,66k,64m,72k,11g,4g,20s,2s,7,true,0.7999999999999999,false,false,0.7
52,84m,48k,300,900ms,3.0,0.25,66m,46k,56m,12k,5g,3g,420s,3s,6,false,0.8999999999999999,true,false,0.7999999999999999
53,16m,42k,400,100ms,3.5,0.75,44m,64k,16m,26k,9g,2g,240s,5s,5,false,0.6,false,false,0.7999999999999999
54,8m,74k,200,100ms,3.5,0.5,122m,106k,88m,62k,8g,2g,240s,6s,1,false,0.5,true,true,0.7999999999999999
55,80m,40k,500,100ms,2.5,0.25,54m,94k,8m,94k,4g,7g,220s,3s,6,false,0.7999999999999999,false,true,0.7999999999999999
56,114m,44k,700,400ms,3.0,0.75,4m,60k,104m,30k,6g,9g,260s,7s,4,true,0.6,false,false,0.8999999999999999
57,100m,2k,300,700ms,4.5,0.25,16m,102k,96m,30k,2g,9g,160s,5s,6,true,0.6,true,true,0.5
58,88m,126k,900,300ms,4.0,0.25,52m,10k,88m,108k,2g,3g,480s,7s,5,false,0.6,false,true,0.5
59,12m,72k,500,800ms,2.0,0.25,36m,52k,88m,104k,6g,3g,20s,6s,7,true,0.8999999999999999,true,false,0.8999999999999999
60,98m,76k,800,200ms,3.5,0.5,24m,110k,64m,62k,9g,2g,300s,2s,5,true,0.7999999999999999,true,false,0.7
61,24m,20k,100,700ms,4.5,0.75,62m,96k,16m,118k,9g,11g,140s,2s,2,true,0.7,true,true,0.8999999999999999
62,54m,96k,700,900ms,1.5,0.75,10m,114k,104m,50k,1g,8g,140s,2s,3,true,0.8999999999999999,false,false,0.7
63,78m,114k,100,200ms,4.0,0.5,2m,126k,8m,98k,6g,8g,200s,7s,6,true,0.5,true,true,0.8999999999999999
64,110m,94k,500,800ms,4.5,0.25,44m,48k,104m,46k,7g,3g,360s,1s,3,false,0.7999999999999999,true,true,0.5
65,8m,8k,300,900ms,2.0,0.5,70m,56k,72m,36k,2g,9g,100s,8s,7,true,0.8999999999999999,true,true,0.6
66,88m,52k,600,900ms,2.5,0.5,90m,76k,24m,114k,3g,4g,160s,6s,2,false,0.7,false,true,0.8999999999999999
67,108m,32k,700,900ms,4.5,0.5,20m,28k,80m,24k,4g,10g,120s,4s,2,true,0.8999999999999999,false,true,0.7
68,96m,86k,600,200ms,2.5,0.25,54m,74k,80m,74k,7g,10g,100s,4s,2,false,0.6,false,true,0.6
69,50m,48k,500,500ms,4.5,0.25,82m,100k,88m,126k,10g,4g,320s,5s,2,true,0.7999999999999999,true,false,0.7
70,94m,104k,300,300ms,1.0,0.5,44m,18k,24m,96k,9g,3g,200s,6s,1,true,0.8999999999999999,false,true,0.6
71,46m,30k,800,700ms,4.0,0.25,34m,10k,32m,46k,2g,8g,420s,4s,2,true,0.7,false,false,0.6
72,94m,70k,200,100ms,1.0,0.75,118m,68k,64m,16k,2g,7g,20s,3s,7,true,0.7,false,true,0.7999999999999999
73,26m,22k,400,600ms,1.5,0.75,80m,56k,16m,62k,3g,11g,180s,5s,3,false,0.7,false,false,0.6
74,14m,2k,100,600ms,4.5,0.75,28m,18k,64m,120k,4g,2g,360s,1s,1,true,0.7999999999999999,false,false,0.6
75,50m,74k,600,500ms,2.5,0.75,22m,50k,56m,4k,8g,8g,420s,7s,6,true,0.5,false,true,0.6
76,46m,6k,100,800ms,3.0,0.5,94m,4k,8m,12k,6g,2g,40s,3s,4,true,0.8999999999999999,true,false,0.8999999999999999
77,116m,46k,500,100ms,3.0,0.75,54m,62k,32m,14k,6g,8g,40s,9s,4,true,0.8999999999999999,true,true,0.6
78,10m,96k,200,100ms,1.0,0.75,34m,70k,88m,16k,11g,5g,200s,3s,3,false,0.5,true,true,0.7999999999999999
79,50m,54k,600,800ms,3.0,0.25,72m,28k,8m,84k,5g,9g,320s,8s,6,false,0.5,false,false,0.7999999999999999
80,18m,122k,900,700ms,4.5,0.25,86m,68k,32m,58k,2g,8g,280s,1s,3,false,0.7999999999999999,true,true,0.5
81,126m,102k,900,200ms,3.5,0.5,114m,114k,32m,4k,4g,8g,140s,4s,1,true,0.6,true,true,0.7
82,104m,114k,600,300ms,1.0,0.75,82m,4k,80m,64k,5g,10g,400s,3s,2,false,0.7999999999999999,false,true,0.5
83,14m,66k,300,800ms,4.0,0.5,38m,94k,32m,46k,1g,8g,260s,1s,2,false,0.6,true,false,0.5
84,30m,20k,200,600ms,1.5,0.5,20m,46k,96m,86k,5g,6g,460s,7s,4,false,0.5,false,false,0.7999999999999999
85,56m,54k,200,200ms,1.0,0.5,72m,100k,48m,54k,7g,5g,140s,7s,1,false,0.6,false,false,0.6
86,40m,122k,100,100ms,2.5,0.25,18m,78k,8m,66k,6g,11g,20s,4s,5,true,0.7,false,false,0.6
87,94m,98k,600,100ms,4.5,0.75,70m,66k,80m,30k,8g,11g,420s,6s,7,true,0.8999999999999999,false,true,0.7
88,80m,28k,100,100ms,3.0,0.25,40m,48k,104m,106k,6g,3g,380s,5s,2,false,0.8999999999999999,false,true,0.5
89,30m,102k,500,600ms,1.5,0.25,96m,80k,64m,60k,9g,11g,380s,8s,1,true,0.8999999999999999,true,false,0.7
90,78m,46k,700,800ms,4.0,0.75,62m,10k,112m,56k,6g,7g,420s,4s,5,false,0.6,false,false,0.6
91,34m,92k,700,200ms,2.0,0.25,78m,106k,64m,20k,1g,7g,120s,5s,1,true,0.7999999999999999,false,true,0.7999999999999999
92,56m,62k,600,300ms,2.5,0.75,76m,36k,80m,74k,10g,10g,460s,9s,4,false,0.6,true,false,0.7
93,94m,48k,700,600ms,2.5,0.25,66m,62k,32m,34k,3g,10g,80s,5s,3,true,0.6,false,false,0.7
94,108m,76k,900,600ms,2.5,0.5,60m,14k,88m,112k,2g,9g,420s,4s,4,false,0.7,false,false,0.7
95,90m,42k,200,200ms,4.5,0.5,110m,6k,64m,78k,11g,8g,180s,9s,7,false,0.7,false,false,0.5
96,82m,126k,300,900ms,1.5,0.75,34m,16k,96m,34k,7g,6g,100s,8s,4,false,0.5,true,true,0.7
97,82m,64k,300,600ms,1.5,0.5,104m,40k,80m,24k,7g,6g,360s,9s,1,true,0.5,false,false,0.5
98,48m,44k,100,700ms,3.5,0.5,94m,76k,112m,124k,11g,7g,360s,2s,1,false,0.8999999999999999,true,true,0.7
99,62m,126k,100,200ms,2.0,0.25,56m,78k,120m,54k,3g,10g,160s,5s,5,false,0.7999999999999999,true,true,0.7999999999999999
100,52m,96k,800,900ms,2.5,0.5,66m,100k,80m,58k,2g,7g,60s,8s,3,true,0.8999999999999999,true,true,0.7
101,30m,52k,200,500ms,1.0,0.5,74m,98k,8m,40k,8g,6g,300s,6s,5,true,0.8999999999999999,true,false,0.8999999999999999
102,8m,50k,200,800ms,4.5,0.5,62m,16k,24m,92k,1g,10g,180s,5s,6,false,0.8999999999999999,true,true,0.8999999999999999
103,80m,40k,500,800ms,2.5,0.25,14m,104k,104m,84k,6g,11g,180s,7s,2,false,0.7,false,true,0.5
104,120m,38k,500,800ms,1.5,0.5,112m,54k,104m,44k,6g,10g,280s,9s,3,false,0.5,true,true,0.5
105,28m,98k,400,600ms,1.5,0.25,4m,12k,120m,30k,7g,10g,280s,3s,5,true,0.5,false,false,0.6
106,68m,118k,400,800ms,2.0,0.5,36m,6k,8m,14k,11g,5g,60s,8s,6,true,0.7999999999999999,true,false,0.5
107,32m,74k,100,100ms,3.0,0.25,18m,78k,40m,60k,7g,9g,300s,5s,7,false,0.8999999999999999,true,true,0.7999999999999999
108,10m,26k,400,800ms,4.0,0.25,124m,78k,104m,78k,9g,10g,60s,5s,3,false,0.5,true,false,0.5
109,28m,28k,600,700ms,2.0,0.25,28m,106k,16m,54k,10g,7g,180s,2s,1,true,0.7,true,false,0.5
110,94m,16k,300,600ms,1.0,0.5,62m,102k,112m,70k,1g,2g,160s,1s,2,true,0.8999999999999999,false,true,0.7999999999999999
111,106m,98k,600,300ms,2.5,0.75,84m,50k,112m,108k,9g,9g,440s,7s,4,false,0.7999999999999999,false,false,0.6
112,40m,88k,200,400ms,2.0,0.25,50m,66k,32m,56k,1g,10g,300s,6s,3,true,0.7,true,false,0.6
113,20m,50k,200,800ms,2.5,0.5,100m,78k,96m,60k,11g,4g,300s,5s,1,false,0.7,false,true,0.5
114,104m,28k,800,400ms,4.5,0.5,4m,96k,112m,124k,8g,1g,480s,6s,1,true,0.7,true,true,0.6
115,6m,6k,200,400ms,1.0,0.75,20m,26k,96m,40k,5g,1g,420s,3s,7,true,0.8999999999999999,false,false,0.7999999999999999
116,52m,126k,300,200ms,3.5,0.5,38m,96k,64m,30k,6g,6g,220s,8s,3,false,0.6,true,false,0.6
117,10m,56k,300,300ms,4.5,0.25,124m,54k,16m,70k,2g,10g,300s,4s,1,true,0.5,true,false,0.8999999999999999
118,22m,72k,400,200ms,1.0,0.5,48m,124k,40m,108k,7g,2g,320s,3s,2,false,0.5,false,true,0.7
119,36m,110k,200,700ms,2.5,0.25,94m,114k,80m,12k,10g,7g,40s,7s,7,false,0.7,false,false,0.7999999999999999
120,88m,112k,500,400ms,3.0,0.5,84m,108k,32m,78k,6g,5g,260s,9s,1,false,0.7,true,false,0.8999999999999999
121,38m,70k,300,900ms,2.0,0.5,54m,104k,56m,18k,1g,9g,440s,3s,1,false,0.7,true,false,0.6
122,124m,54k,600,800ms,4.5,0.75,64m,108k,56m,102k,6g,5g,180s,7s,7,true,0.8999999999999999,true,true,0.5
123,48m,6k,800,100ms,3.5,0.5,32m,44k,112m,110k,5g,6g,220s,4s,5,true,0.5,false,true,0.7
124,98m,22k,800,800ms,2.5,0.5,118m,106k,16m,116k,10g,9g,300s,1s,7,false,0.7,false,false,0.5
125,92m,102k,200,500ms,3.5,0.25,34m,116k,72m,6k,1g,11g,300s,2s,7,false,0.5,false,true,0.5
126,72m,32k,200,100ms,4.0,0.25,62m,10k,16m,100k,6g,1g,320s,1s,6,true,0.6,false,false,0.6
127,60m,84k,900,300ms,2.5,0.25,36m,60k,80m,78k,8g,6g,60s,6s,2,true,0.5,true,true,0.8999999999999999
128,94m,100k,400,100ms,3.5,0.75,64m,108k,64m,24k,3g,9g,140s,5s,5,true,0.8999999999999999,false,true,0.7999999999999999
129,90m,16k,100,900ms,4.0,0.25,106m,46k,8m,48k,2g,9g,240s,5s,1,false,0.8999999999999999,true,true,0.7999999999999999
130,116m,76k,500,600ms,1.0,0.75,26m,68k,112m,110k,10g,7g,260s,5s,6,true,0.7,true,false,0.7999999999999999
131,80m,102k,200,100ms,2.5,0.25,104m,60k,56m,42k,9g,1g,80s,5s,7,true,0.7999999999999999,true,true,0.5
132,124m,70k,800,300ms,4.5,0.75,108m,44k,80m,120k,2g,8g,240s,3s,2,true,0.7,false,false,0.8999999999999999
133,12m,112k,800,600ms,1.0,0.75,24m,126k,64m,104k,7g,3g,120s,5s,6,false,0.5,true,false,0.7
134,28m,92k,500,800ms,4.5,0.25,46m,6k,64m,76k,10g,9g,460s,8s,4,false,0.8999999999999999,false,true,0.6
135,22m,16k,400,400ms,1.0,0.25,86m,66k,96m,26k,3g,6g,280s,9s,7,false,0.5,true,true,0.7999999999999999
136,102m,12k,600,200ms,1.5,0.5,46m,54k,104m,98k,11g,4g,100s,1s,5,false,0.6,true,false,0.8999999999999999
137,78m,96k,900,800ms,4.5,0.25,68m,48k,112m,90k,10g,7g,340s,3s,4,false,0.7,false,false,0.5
138,32m,28k,900,700ms,1.0,0.5,68m,88k,64m,114k,9g,10g,340s,8s,1,false,0.8999999999999999,true,true,0.8999999999999999
139,38m,126k,500,400ms,1.5,0.75,52m,12k,88m,6k,4g,7g,240s,5s,3,false,0.7999999999999999,true,false,0.8999999999999999
140,20m,66k,900,400ms,1.5,0.25,62m,94k,72m,86k,11g,5g,240s,1s,5,false,0.7999999999999999,false,false,0.5
141,40m,58k,700,800ms,1.0,0.5,56m,46k,16m,96k,6g,5g,20s,1s,5,true,0.5,true,false,0.7999999999999999
142,96m,48k,300,400ms,3.0,0.25,58m,122k,32m,26k,1g,2g,460s,8s,5,true,0.8999999999999999,true,true,0.8999999999999999
143,118m,42k,300,700ms,3.5,0.75,52m,112k,16m,86k,3g,7g,340s,7s,2,true,0.8999999999999999,false,false,0.6
144,116m,122k,300,400ms,3.5,0.5,112m,78k,8m,24k,9g,7g,160s,5s,2,true,0.8999999999999999,true,false,0.7
145,70m,28k,100,600ms,2.5,0.25,104m,34k,80m,100k,11g,5g,180s,6s,2,true,0.8999999999999999,false,false,0.5
146,124m,58k,100,700ms,1.5,0.75,4m,74k,32m,124k,2g,4g,220s,6s,6,false,0.5,false,true,0.8999999999999999
147,16m,52k,100,800ms,4.0,0.75,86m,30k,72m,102k,9g,9g,40s,9s,4,false,0.5,true,false,0.6
148,56m,42k,700,200ms,2.5,0.75,24m,40k,104m,18k,5g,9g,40s,6s,1,false,0.8999999999999999,true,false,0.8999999999999999
149,64m,96k,500,900ms,2.5,0.5,28m,62k,48m,18k,1g,7g,300s,8s,1,true,0.7,false,true,0.7
150,30m,20k,600,400ms,3.0,0.75,68m,90k,72m,98k,1g,7g,60s,2s,1,false,0.7,true,true,0.8999999999999999
151,102m,70k,100,400ms,3.5,0.75,32m,124k,32m,74k,4g,4g,460s,9s,6,false,0.5,false,true,0.6
152,88m,102k,500,100ms,2.5,0.5,58m,88k,96m,50k,4g,3g,200s,6s,4,true,0.7,false,false,0.5
153,88m,70k,400,900ms,2.5,0.5,102m,46k,112m,14k,9g,7g,100s,5s,4,false,0.8999999999999999,true,true,0.7
154,34m,78k,600,200ms,4.0,0.25,50m,110k,112m,102k,10g,9g,340s,6s,5,true,0.7999999999999999,false,true,0.7
155,18m,98k,700,300ms,2.5,0.75,114m,62k,48m,94k,11g,7g,420s,9s,5,true,0.8999999999999999,false,true,0.8999999999999999
156,50m,24k,900,800ms,4.0,0.75,108m,100k,16m,50k,7g,6g,100s,1s,2,false,0.7,false,false,0.6
157,48m,22k,200,600ms,4.0,0.5,70m,118k,40m,90k,9g,1g,300s,8s,6,true,0.8999999999999999,false,false,0.7
158,116m,28k,200,900ms,1.0,0.25,92m,6k,104m,120k,4g,6g,380s,5s,3,false,0.6,true,true,0.6
159,14m,62k,600,700ms,1.0,0.25,68m,78k,48m,50k,2g,8g,320s,2s,2,false,0.6,true,true,0.5
160,48m,58k,100,600ms,4.0,0.5,32m,98k,112m,90k,10g,11g,160s,2s,1,false,0.7,true,false,0.7
161,42m,124k,200,500ms,4.0,0.75,28m,112k,120m,58k,11g,10g,100s,3s,1,true,0.7999999999999999,true,false,0.6
162,72m,112k,500,300ms,2.5,0.75,4m,52k,72m,36k,1g,10g,200s,1s,4,false,0.8999999999999999,false,false,0.6
163,86m,48k,400,100ms,3.5,0.75,50m,12k,64m,90k,4g,1g,200s,8s,5,false,0.8999999999999999,true,true,0.7
164,96m,76k,200,900ms,4.5,0.5,28m,40k,24m,74k,5g,10g,260s,2s,5,false,0.7999999999999999,false,true,0.7999999999999999
165,122m,24k,300,100ms,1.5,0.5,18m,94k,112m,2k,8g,8g,20s,2s,1,false,0.8999999999999999,true,true,0.5
166,54m,20k,100,200ms,1.0,0.25,78m,94k,80m,22k,8g,10g,460s,9s,3,false,0.7,true,false,0.6
167,90m,124k,800,400ms,1.5,0.25,112m,6k,104m,38k,4g,4g,140s,2s,5,true,0.8999999999999999,true,false,0.7
168,80m,72k,500,600ms,1.5,0.75,104m,16k,16m,54k,2g,5g,40s,3s,2,false,0.5,true,false,0.7999999999999999
169,22m,68k,300,300ms,1.5,0.25,94m,116k,48m,28k,1g,9g,340s,5s,7,true,0.8999999999999999,false,false,0.7999999999999999
170,46m,6k,400,500ms,4.0,0.5,22m,92k,120m,40k,10g,7g,80s,4s,5,true,0.8999999999999999,false,false,0.5
171,88m,24k,900,300ms,1.5,0.5,60m,4k,64m,40k,9g,2g,160s,5s,5,false,0.6,false,true,0.7999999999999999
172,58m,122k,600,400ms,2.0,0.75,6m,18k,96m,40k,2g,5g,20s,9s,6,true,0.6,true,true,0.6
173,44m,12k,300,300ms,2.0,0.25,118m,62k,104m,66k,6g,6g,20s,2s,6,true,0.5,false,false,0.8999999999999999
174,80m,106k,600,400ms,1.5,0.25,70m,118k,64m,56k,6g,5g,80s,8s,2,true,0.6,true,false,0.7
175,48m,12k,600,600ms,1.5,0.25,54m,62k,56m,56k,1g,2g,160s,7s,4,false,0.6,true,true,0.6
176,98m,46k,300,600ms,1.0,0.75,100m,38k,120m,16k,3g,2g,180s,7s,3,false,0.7999999999999999,true,true,0.7999999999999999
177,66m,60k,600,300ms,3.5,0.5,94m,34k,56m,86k,6g,1g,420s,3s,1,false,0.5,false,true,0.7999999999999999
178,4m,2k,100,100ms,3.0,0.75,100m,36k,96m,64k,4g,2g,460s,1s,3,false,0.7,true,false,0.8999999999999999
179,118m,42k,700,700ms,4.5,0.5,94m,118k,48m,44k,7g,5g,200s,5s,4,true,0.7,false,false,0.6
180,40m,42k,100,400ms,4.0,0.75,102m,22k,48m,100k,8g,6g,340s,1s,3,false,0.6,true,true,0.6
181,78m,22k,400,400ms,1.0,0.25,48m,20k,72m,72k,5g,9g,340s,7s,2,false,0.7999999999999999,true,false,0.7999999999999999
182,118m,10k,700,100ms,2.5,0.75,100m,70k,96m,10k,2g,7g,220s,9s,7,false,0.7999999999999999,false,true,0.5
183,50m,110k,400,900ms,4.0,0.75,108m,68k,112m,106k,8g,6g,100s,4s,7,true,0.5,true,true,0.7999999999999999
184,126m,10k,600,900ms,3.5,0.75,112m,26k,8m,80k,11g,2g,440s,4s,1,true,0.8999999999999999,true,true,0.6
185,26m,70k,200,500ms,4.0,0.75,46m,12k,120m,58k,7g,10g,340s,9s,2,true,0.8999999999999999,false,false,0.7999999999999999
186,14m,2k,300,400ms,2.0,0.5,108m,112k,24m,122k,9g,8g,340s,3s,3,true,0.7,false,true,0.8999999999999999
187,56m,102k,300,300ms,2.0,0.75,124m,48k,112m,48k,8g,2g,280s,5s,1,false,0.6,true,false,0.6
188,84m,94k,300,800ms,1.5,0.5,100m,126k,64m,100k,4g,7g,300s,9s,7,true,0.8999999999999999,false,true,0.7
189,120m,56k,100,100ms,3.0,0.5,52m,124k,104m,86k,4g,3g,380s,8s,5,false,0.6,false,false,0.7
190,58m,22k,400,900ms,2.5,0.25,18m,62k,64m,34k,9g,2g,160s,5s,6,true,0.7999999999999999,false,false,0.8999999999999999
191,68m,26k,700,800ms,3.5,0.25,112m,90k,16m,4k,1g,9g,240s,5s,1,true,0.7999999999999999,true,true,0.7999999999999999
192,16m,20k,100,800ms,4.5,0.25,52m,44k,112m,68k,4g,6g,80s,7s,7,false,0.8999999999999999,false,true,0.7
193,28m,98k,900,200ms,3.5,0.75,32m,36k,24m,20k,11g,5g,60s,8s,4,true,0.7999999999999999,false,true,0.5
194,34m,112k,300,800ms,1.5,0.75,120m,62k,120m,126k,3g,10g,360s,7s,5,false,0.5,false,true,0.8999999999999999
195,100m,52k,400,100ms,1.0,0.75,106m,56k,24m,96k,2g,7g,280s,2s,5,true,0.5,false,true,0.7
196,126m,122k,500,100ms,4.5,0.25,16m,108k,88m,8k,9g,4g,280s,9s,5,true,0.7,false,true,0.8999999999999999
197,32m,124k,500,700ms,2.5,0.5,30m,64k,88m,76k,2g,9g,140s,9s,6,true,0.6,true,false,0.8999999999999999
198,122m,12k,100,100ms,4.0,0.25,34m,30k,32m,100k,11g,4g,220s,8s,3,false,0.6,false,true,0.7999999999999999
199,90m,6k,300,500ms,4.0,0.75,76m,108k,48m,118k,5g,5g,480s,4s,7,true,0.7999999999999999,false,true,0.7999999999999999
200,82m,96k,700,600ms,4.0,0.25,58m,62k,72m,46k,9g,7g,360s,8s,2,false,0.6,true,true,0.7
201,106m,10k,300,500ms,4.5,0.5,26m,36k,64m,38k,9g,2g,80s,3s,2,false,0.6,false,true,0.7
202,18m,84k,200,600ms,1.5,0.5,10m,18k,120m,26k,11g,7g,240s,7s,4,false,0.6,true,true,0.7
